,Title,price,rating,combined
29,"Desktop Calculator, Light Blue Calculator Big Buttons, 12-Digits Large LCD Display, Solar and AA Battery Dual Power, Desk Calculator for Office Home School Business Class (Light Blue)",5.99,4.0,2.3632593818804692
130,Texas Instruments TI108 Single 108/BK/D by Texas Instruments,11.99,4.6,2.3588395017865422
53,"Canon Office Products HS-1200TS Business Calculator, Black, 4 7/8 x 6 7/8",13.99,4.7,2.3531662886352085
27,"Mr. Pen- Calculator, Pink, Calculators Large Display, Standard Function Calculator, 12-Digit, Calculators Desktop, Office Calculator, Desktop Calculator, Desk Calculator Large Display, Pink Calculator",4.99,3.8,2.350892481878079
12,Texas Instruments TI-1795 SV Standard Function Calculator,14.14,4.7,2.348393341473471
52,"Sharp EL-334WB Business Calculator, White 4.0",14.99,4.7,2.323150957140003
107,"VEWINGL Mechanical Switch Calculator,Calculator Cute 12 Digit Large LCD Display and Buttons,Calculator with Large LCD Display Great for Everyday Life and Basic Office Work.with Battery (Colorful Blue)",14.99,4.7,2.323150957140003
64,"Mr. Pen- Mechanical Switch Calculator, 10 Digits, Blue Calculator, Transparent Body, Large LCD Display, Big Buttons Mechanical Calculator Desktop Calculator, Cute Calculator, Aesthetic Calculator",6.99,4.1,2.3230986783127334
146,Canon Office Products LS-555H Business Calculator,12.99,4.6,2.3195799777597554
141,12 Digits Desk Calculator with Large Display LCD and Sensitive Big Buttons Dual Power Solar Calculator with Battery Standard Functions Basic Calculators for Offices Home Schools CF-1453,8.99,4.3,2.3058733034873127
116,"Calculators, Benkaim Desk Calculator,Basic Standard Calculator,12 Digit Large LCD Display Big Button Calculator for School, Home & Business Use(Pink Gradient)",15.99,4.7,2.2968898884959796
110,"Calculator Pink, Basic Small Solar and Battery Operated, Large Display Four Function, Auto Powered Handheld Calculator School and Kids Available in Green, Red, Purple, Grey, Blue, 1 PK – by Enday",5.99,3.9,2.2788572610990236
21,Texas Instruments TI-36X Pro Engineering/Scientific Calculator | 9.7 Inch | Black.,20.73,4.8,2.2699331080877556
33,"Casio fx-115ESPLUS2 2nd Edition, Advanced Scientific Calculator",17.39,4.7,2.265198411407798
10,"Desk Calculator 12 Digit Extra Large LCD Display, Touch Comfortable with Big Buttons, PXY Two Way Power Battery and Solar Standard Function Office Calculators",14.99,4.6,2.256775215507431
93,Casio fx-55 Plus Elementary/Middle School Fraction Calculator (FX-55PLUS),15.15,4.6,2.252467181914519
87,"Calculated Industries 8510 Home ProjectCalc Do-It-Yourselfers Feet-Inch-Fraction Project Calculator | Dedicated Keys for Estimating Material Quantities and Costs for Home Handymen and DIYs , White Small",18.99,4.7,2.234701354692834
62,FX-991CW Advanced Scientific Calculator,19.99,4.7,2.218119819666783
16,Texas Instruments TI-34 MultiView Scientific Calculator,20.54,4.7,2.209688181761252
99,"M&G Desktop Calculator 12 Digits Extra Large LCD Display, Dual Solar Power and Battery, Mechanical Calculator with Big Buttons, Battery Include, Basic Financial Calculator for Office Home School",16.99,4.6,2.208756742190321
145,"Texas Instruments Ti-36x Pro Scientific Calculator, 16-Digit LCD",27.5,4.8,2.193045983298691
42,Casio DJ-120D Business Desktop Calculator with Check & Correct,15.67,4.5,2.1732185437952785
118,"Comix Desktop Calculator, Large Computer Keys, 12 Digits Display, Champaign Gold Color Panel, C-2735",18.99,4.6,2.170852744558753
129,"Sharp EL-310WB Calculator, White 3.125, 3.38 x 4.75 x 1.0 inches",15.96,4.5,2.1663367049012647
124,"Sharp EL-310WB Calculator, White 3.125, 3.38 x 4.75 x 1.0 inches",15.96,4.5,2.1663367049012647
128,Casio FX-991ES Plus-2nd Edition Scientific Calculator,24.75,4.7,2.157560435962183
121,Casio FX-991ES Plus-2nd Edition Scientific Calculator,24.75,4.7,2.157560435962183
68,"Calculator,12 Digit Extra Large LCD Display Office Desk Calculators, Two Way Power Battery and Solar,Big Button Standard Basic 4 Function Desktop Calculators for Office Financial Accounting Business",13.99,4.4,2.1514663210379052
83,"Canon TX-220TSII Standard Function Calculator, White, 1.2"" x 5.7"" x 5.7",16.99,4.5,2.143793308596488
89,"Texas Instruments TI-30X IIS 2-Line Scientific Calculator, Lime Green",34.99,4.8,2.1426492798488717
48,EAI 560439 Texas Instruments TI-36X Pro Scientific Calculator Small,27.59,4.7,2.1313813832369233
158,"8 Pack Office Calculators Desktop, 12-Digit Solar Basic Desktop Calculator Dual Power Electronic Calculators with Large LCD Display Big Button Handheld Calculator for Office Home and School",27.99,4.7,2.1281210057633277
19,"Desk Calculator 12 Digit Extra Large 4.3-Inch LCD Display, Two Way Power Battery and Solar Calculators Desktop, Big Buttons Easy to Press Used as Office Calculators for Desk White",14.99,4.4,2.1240237322422884
133,"Texas Instruments TI-30X IIS 2-Line Scientific Calculator, Lavender",39.99,4.8,2.1195141678854665
56,"Texas Instruments BA II Plus Financial Calculator, Black Medium",29.99,4.7,2.113123704246738
90,HP 10bII+ Financial Calculator,31.95,4.7,2.100247992820749
137,"Scientific Calculators, IPepul Pink Math Calculator with 417 Function, Solar Battery Power and 4-Line Display, School Supplies for Middle High College Students Teachers (Pink 991ES Plus)",15.99,4.4,2.1000136123391813
138,"Calculator, Desk Calculators, Cute Pink Calculator, 12 Digit with Large LCD Display, Basic Standard Calculator, Big Button, Aesthetic Calculator, Mechanical Calculator for Office School",9.99,4.1,2.099035219498442
82,TEXAS INSTRUMENTS 30XIIS Scientific/Math Calculator - Orange,32.9,4.7,2.0945592102330974
46,"Calculated Industries 4065 Construction Master Pro Advanced Construction Math Feet-inch-Fraction Calculator for Contractors, Estimators, Builders, Framers, Remodelers, Renovators and Carpenters",49.95,4.8,2.0872315021265417
147,TI 30 XS Multiview Scientific Calculator + WYNGS Protective Case Black,51.99,4.8,2.0821455554169357
100,"Victor 1190 Desktop Display Calculator, Black, 1"" x 5.9"" x 7.8",20.69,4.5,2.081325504226398
13,"Calculators, BESTWYA 12-Digit Dual Power Handheld Desktop Calculator with Large LCD Display Big Sensitive Button (Black, Pack of 5)",20.99,4.5,2.077225760476165
95,BUY NOW DIRECT -Texas Instruments TI-30XA Scientific Calculator-PT# BND- UTTEXTI30XA,17.95,4.4,2.060714062099558
113,Canon Office Products WS-1400H Business Calculator,30,4.6,2.05268077778273
91,Casio FX-350ES Plus Scientific Calculator,18.5,4.4,2.0511823496179695
143,"Casio HR-170RC Printing Calculator, Black, 2.6"" x 6.5"" x 11.6",32.38,4.6,2.0376993839103434
54,"Casio HR-10RC, Mini-Desktop Printing Calculator (New Version of The HR-8TM)",19.49,4.4,2.0353809319535214
8,"Calculator, Splaks 2 Pack Standard Functional Desktop Calculators Solar and AA Battery Dual Power Electronic Office Calculators with 12-Digit Large Display (1 Basic Black&1 Updated Silver)",15.99,4.3,2.034388186953582
123,"Casio HR-170RC Plus, Desktop Printing Calculator (New Version of The HR-100TM)",33.99,4.6,2.0287545716195776
88,CASIO PRIZM FX-CG50 Color Graphing Calculator,94.88,4.8,2.025852023101446
67,"LICHAMP Desk Calculators with Big Buttons and Large Display, Office Desktop Calculator Basic 12 Digit with Solar Power and AA Battery (Included), 6 Bulk Pack",25.99,4.5,2.0228306737810766
117,"Texas Instruments BAII Plus Financial Calculator, Black",35.48,4.6,2.0211997388252687
149,"8 Pack Desk Calculators with Big Buttons and Large Display Dual Power Desktop Calculators 12 Digit Solar Power Calculator for Office, Home, School",26.99,4.5,2.0143701115748525
36,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Teal (Metallic)",129,4.8,2.0078035035567288
37,"Sharp QS-2130 12-Digit Commercial Desktop Calculator with Kickstand, Arithmetic Logic, Battery and Solar Hybrid Powered LCD Display, Great For Home and Office Use,Gray and Black Small",60.35,4.7,2.0075366877390173
98,HP 12CP Financial Calculator,39.94,4.6,2.0019547992785927
119,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Rose Gold (Metallic)",149.99,4.8,2.000779942355831
26,Sharp EL-1197PIII Heavy Duty Color Printing Calculator with Clock and Calendar,81.44,4.7,1.9805267220931992
134,LED Back-Light Calculator Desktop SMT-200 / Added Sound Function (White),15.8,4.2,1.972820310371149
157,"Scientific Calculators for Students, Blue Math Calculator with Notepad,10-Digit Large Screen, Classroom Must Haves for Middle High School Supplies & College （Blue）",19.99,4.3,1.9646204117048647
35,"Amazon Basics LCD 8-Digit Desktop Calculator, 5-Pack, Silver",35.03,4.5,1.9639014934079198
155,"Texas Instruments TI-84 Plus Graphing Calculator, Black",103.85,4.7,1.9638481033149708
15,"Texas Instruments TI-84 Plus Graphics Calculator, Black 320 x 240 pixels (2.8"" diagonal)",107.9,4.7,1.9615730605266368
6,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black",119.99,4.7,1.9556951591578127
38,"Texas Instruments TI-84 Plus CE Graphing Calculator, Black",126.99,4.7,1.9528035076305255
112,"Better Office Products Large Desktop Calculators, 5 Pack, 12-Digit LCD Display, Angled Display Panel, Standard Function, Black, Dual Power with Included AA Battery Power, 5 Pack",20.95,4.3,1.95184042056909
108,"Texas Instruments TI-84 PLUS CE Graphing Calculator, Black (Frustration-Free Packaging) (84PLCE/PWB/2L1/A)",129.99,4.7,1.9516595649093516
81,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Bright White",134.97,4.7,1.9498728936859042
70,Texas Instruments TI-108 Solar Power Calculator/Teacher’s Kit (set of 10),60.55,4.6,1.9498438303949226
20,"Canon Office Products 2198C001 Canon MP11DX-2 Desktop Printing Calculator with Currency Conversion, Clock and Calendar",61.09,4.6,1.9489511770197903
24,"Canon P23-DHV-3 Printing Calculator with Double Check Function, Tax Calculation and Currency Conversion",38.47,4.5,1.948751776904397
140,"TI-84 Plus CE Color Graphing Calculator, White",139.7,4.7,1.9482938651512234
65,Texas Instruments TI-Nspire CX II Color Graphing Calculator with Student Software (PC/Mac) White 3.54 x 7.48,143.82,4.7,1.9470031095540037
17,Texas Instruments TI-Nspire CX II CAS Color Graphing Calculator with Student Software (PC/Mac),152.75,4.7,1.9444444444444446
66,"Learning Resources Primary Calculator - 10 Pieces, Ages 3+, Basic Solar Powered Calculators, Teacher Supplies, Back to School Supplies",42.79,4.5,1.9331767910446307
156,"18 Pieces Pocket Calculator,Pocket Size Mini Calculators,8 Digit Display Basic Calculator,Solar Battery Dual Power Desktop Calculators for Students Kids Home Office (Multicolor, 18 Pieces)",29.99,4.4,1.9319988153113037
144,"Casio HR-300RC Printing Calculator with Backlit LCD Display,White,Mini-Desktop",43.27,4.5,1.9316382097693692
43,Canon CNMMP11DX - MP11DX Printing Calculator,73.99,4.6,1.9315001929516513
25,"Sharp EL2196BL Standard Function Calculator, Black",96.41,4.6,1.9122819419042267
122,"Canon P170DH3 12-Digit Desktop Printing Calculator, White",51.32,4.5,1.9101237361728978
49,Graphing Calculator,99.99,4.6,1.910011147896148
104,Texas Instruments Ti-84 plus Graphing calculator - Black,104.88,4.6,1.9071599131408663
78,"Mechanical Switch Calculator, JS05, Basic 10-Digit Desktop Calculator for Office, School, Home, Business Use (Black)",19.99,4.2,1.9012455597143856
45,"Sharp EL-1750V Two-Color Printing Calculator 2 Lines/Sec 3"" Black/Red",58.18,4.5,1.896488202565518
63,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Bionic Blue Small",137.97,4.6,1.8931771568473459
23,"Sharp EL-1901 Paperless Printing Calculator with Check and Correct, 12-Digit LCD Primary Display, Functions the Same as a Printing Calculator/Adding Machine with Scrolling LCD Display Instead of Paper",63.99,4.5,1.8872263323222962
84,"Konohan 8 Pieces 12-Digit Calculator, Solar Basic Desktop Calculator Large Display Electronic Dual Power Handheld for Home Office School(Black)",27.99,4.3,1.884907176533233
61,"CATIGA CS229 Scientific Calculator with Graphics Functions, Multiple Modes with Intuitive User Interface for Beginners and Advanced Courses",39.99,4.4,1.8840125936759706
